frame,track_id,vehicle_class,x1,y1,x2,y2,centroid_x,centroid_y
27,1213,car,638,526,691,592,664,559
27,1214,car,724,213,786,249,755,231
27,1215,car,673,252,735,297,704,274
27,50,truck,1556,381,1919,851,1737,616
27,1184,car,699,309,749,365,724,337
28,1150,bus,552,527,814,923,683,725
28,1151,car,478,602,612,754,545,678
28,1152,car,619,396,725,502,672,449
28,1154,truck,455,963,651,1080,553,1021
28,1155,car,105,672,308,846,206,759
28,1156,car,445,473,571,583,508,528
28,1158,car,1533,841,1647,976,1590,908
28,1159,person,1229,557,1259,616,1244,586
28,1163,car,557,351,640,425,598,388
28,1165,car,754,286,816,342,785,314
28,696,car,1397,610,1508,729,1452,669
28,1191,person,929,491,964,570,946,530
28,1173,car,1310,545,1367,597,1338,571
28,1211,person,1074,518,1098,569,1086,543
28,21,truck,1313,440,1403,556,1358,498
28,1214,car,724,213,786,249,755,231
28,50,truck,1558,378,1919,853,1738,615
28,1183,car,947,325,984,376,965,350
29,1150,bus,548,530,812,931,680,730
29,1151,car,471,607,604,759,537,683
29,1152,car,618,402,723,504,670,453
29,1154,car,449,976,648,1080,548,1028
29,1155,car,95,679,302,855,198,767
29,1156,car,441,476,566,588,503,532
29,1158,car,1535,841,1646,973,1590,907
29,1159,person,1231,559,1260,620,1245,589
29,1163,car,555,353,640,427,597,390
29,1165,car,753,287,817,343,785,315
29,696,car,1397,610,1507,729,1452,669
29,1191,person,928,496,964,576,946,536
29,1173,car,1311,545,1367,597,1339,571
29,1211,person,1073,518,1098,568,1085,543
29,21,truck,1318,439,1403,558,1360,498
29,1214,car,723,214,786,251,754,232
29,1183,car,948,326,985,378,966,352
29,1213,car,631,534,692,601,661,567
29,1215,car,671,256,731,298,701,277
30,1150,bus,542,534,810,942,676,738
30,1151,car,466,616,601,770,533,693
30,1152,car,615,407,720,508,667,457
30,1154,car,447,987,643,1080,545,1033
30,1155,car,84,686,294,866,189,776
30,1156,car,436,479,562,595,499,537
30,1158,car,1535,842,1647,977,1591,909
30,1159,person,1234,561,1262,624,1248,592
30,1163,car,549,354,638,429,593,391
30,1165,car,753,289,816,344,784,316
30,696,car,1395,610,1508,730,1451,670
30,1191,person,927,499,963,581,945,540
30,1173,car,1312,546,1368,597,1340,571
30,1211,person,1073,518,1098,569,1085,543
30,21,truck,1323,439,1404,560,1363,499
30,1214,car,723,215,784,252,753,233
30,1213,car,626,538,689,605,657,571
30,1215,car,653,260,730,300,691,280
30,1184,car,697,311,747,371,722,341
31,1150,bus,539,538,808,950,673,744
31,1151,car,459,622,598,779,528,700
31,1152,car,614,410,718,512,666,461
31,1154,car,445,998,639,1079,542,1038
31,1155,car,78,692,288,873,183,782
31,1156,car,433,482,560,599,496,540
31,1158,car,1535,843,1648,978,1591,910
31,1159,person,1236,565,1263,627,1249,596
31,1163,car,540,355,637,431,588,393
31,1165,car,758,290,816,345,787,317
31,696,car,1395,609,1508,729,1451,669
31,1191,person,926,503,963,586,944,544
31,1173,car,1312,545,1368,598,1340,571
31,1211,person,1073,517,1098,569,1085,543
31,21,truck,1325,439,1404,560,1364,499
31,1214,car,725,215,783,251,754,233
31,1213,car,622,543,683,611,652,577
32,1150,bus,532,542,807,962,669,752
32,1151,car,453,628,596,786,524,707
32,1152,car,612,413,717,515,664,464
32,1154,car,446,1012,633,1079,539,1045
32,1155,car,67,698,283,881,175,789
32,1156,car,428,485,557,602,492,543
32,1158,car,1535,843,1649,978,1592,910
32,1159,person,1236,566,1264,629,1250,597
32,1163,car,541,358,634,434,587,396
32,1165,car,755,291,815,347,785,319
32,696,car,1393,609,1508,729,1450,669
32,1191,person,928,506,962,586,945,546
32,1173,car,1313,545,1368,599,1340,572
32,1211,person,1073,516,1098,569,1085,542
32,21,truck,1326,439,1404,560,1365,499
32,1214,car,721,215,781,253,751,234
32,1213,car,620,547,678,612,649,579
33,1150,bus,526,547,806,972,666,759
33,1151,car,448,635,591,797,519,716
33,1152,car,610,416,716,520,663,468
33,1155,car,59,704,276,891,167,797
33,1156,car,422,491,554,609,488,550
33,1158,car,1536,844,1650,978,1593,911
33,1159,person,1236,569,1265,633,1250,601
33,1163,car,539,362,630,437,584,399
33,1165,car,752,293,813,349,782,321
33,696,car,1394,609,1508,729,1451,669
33,1191,person,925,513,963,599,944,556
33,1173,car,1312,545,1368,601,1340,573
33,1211,person,1074,515,1098,570,1086,542
33,21,truck,1325,439,1404,558,1364,498
33,1214,car,720,217,781,255,750,236
33,1213,car,616,551,675,624,645,587
33,1237,person,890,357,915,412,902,384
33,1215,car,661,259,725,307,693,283
34,1150,bus,522,551,804,981,663,766
34,1151,car,441,640,586,806,513,723
34,1152,car,608,419,713,523,660,471
34,1155,car,49,712,269,901,159,806
34,1156,car,417,495,552,613,484,554
34,1158,car,1535,844,1650,978,1592,911
34,1159,person,1238,572,1266,636,1252,604
34,1163,car,536,365,627,440,581,402
34,696,car,1396,610,1509,729,1452,669
34,1173,car,1311,545,1367,604,1339,574
34,1211,person,1075,511,1098,567,1086,539
34,21,truck,1322,439,1404,558,1363,498
34,1214,car,723,218,780,255,751,236
34,1213,car,611,554,671,632,641,593
34,1237,person,890,360,915,416,902,388
34,1240,person,1677,797,1709,861,1693,829
34,1241,car,1327,566,1435,685,1381,625
34,1215,car,664,259,725,307,694,283
34,1183,car,945,337,985,391,965,364
34,1184,car,689,323,743,382,716,352
35,1150,bus,519,554,803,991,661,772
35,1151,car,437,647,580,816,508,731
35,1152,car,606,421,713,527,659,474
35,1155,car,38,718,263,911,150,814
35,1156,car,414,496,548,617,481,556
35,1158,car,1536,843,1650,978,1593,910
35,1159,person,1239,573,1269,639,1254,606
35,1163,car,535,367,625,442,580,404
35,696,car,1398,611,1509,729,1453,670
35,1173,car,1311,546,1366,603,1338,574
35,21,truck,1320,439,1404,556,1362,497
35,1214,car,722,218,778,257,750,237
35,1237,person,890,362,916,420,903,391
35,1240,person,1677,795,1708,867,1692,831
35,1241,car,1328,570,1427,686,1377,628
35,1215,car,667,260,722,308,694,284
35,1183,car,944,337,985,393,964,365
36,1150,bus,515,557,800,1003,657,780
36,1151,car,429,653,577,824,503,738
36,1152,car,603,424,710,530,656,477
36,1155,car,28,724,257,920,142,822
36,1156,car,408,501,542,622,475,561
36,1158,car,1539,845,1648,978,1593,911
36,1159,person,1239,575,1270,642,1254,608
36,1163,car,534,368,623,444,578,406
36,696,car,1397,611,1509,729,1453,670
36,1173,car,1311,546,1366,605,1338,575
36,21,truck,1317,439,1404,555,1360,497
36,1214,car,718,218,778,258,748,238
36,1237,person,890,364,915,422,902,393
36,1240,person,1676,794,1707,868,1691,831
36,1241,car,1327,570,1431,686,1379,628
36,1183,car,944,339,986,395,965,367
36,1172,car,1329,588,1388,685,1358,636
36,1213,car,604,563,668,638,636,600
36,1184,car,685,328,741,387,713,357
37,1150,bus,511,563,799,1016,655,789
37,1151,car,420,662,573,834,496,748
37,1152,car,600,428,710,532,655,480
37,1155,car,17,732,249,932,133,832
37,1156,car,404,505,537,627,470,566
37,1158,car,1541,845,1653,978,1597,911
37,1159,person,1240,576,1271,644,1255,610
37,1163,car,529,371,621,447,575,409
37,696,car,1398,611,1509,729,1453,670
37,21,truck,1316,439,1404,555,1360,497
37,1214,car,720,219,776,260,748,239
37,1237,person,890,367,915,423,902,395
37,1240,person,1677,792,1706,866,1691,829
37,1241,car,1328,585,1418,687,1373,636
37,1183,car,942,341,986,398,964,369
37,1172,car,1331,593,1388,685,1359,639
37,1213,car,601,568,668,646,634,607
37,1184,car,684,330,740,389,712,359
37,50,truck,1561,381,1918,856,1739,618
37,1165,car,746,297,810,357,778,327
37,1215,car,661,265,718,312,689,288
38,1150,bus,503,568,797,1028,650,798
38,1151,car,410,671,569,845,489,758
38,1152,car,596,431,706,536,651,483
38,1155,car,6,739,241,942,123,840
38,1156,car,397,509,532,633,464,571
38,1158,car,1540,844,1655,981,1597,912
38,1159,person,1241,578,1272,648,1256,613
38,1163,car,526,373,619,450,572,411
38,696,car,1399,611,1509,729,1454,670
38,21,truck,1314,439,1405,555,1359,497
38,1214,car,717,219,776,261,746,240
38,1237,person,889,369,913,425,901,397
38,1240,person,1676,790,1706,863,1691,826
38,1241,car,1328,586,1412,686,1370,636
38,1183,car,943,343,986,399,964,371
38,1172,car,1331,594,1387,685,1359,639
38,1213,car,596,572,668,655,632,613
38,1184,car,684,330,740,391,712,360
38,1253,car,777,450,832,535,804,492
38,1254,car,826,185,877,222,851,203
38,50,truck,1561,379,1918,862,1739,620
38,1165,car,745,299,810,360,777,329
38,1191,person,922,541,960,636,941,588
39,1150,bus,493,576,795,1039,644,807
39,1151,car,402,677,559,857,480,767
39,1152,car,593,433,704,541,648,487
39,1155,car,0,747,235,956,117,851
39,1156,car,393,513,530,639,461,576
39,1158,car,1541,845,1654,982,1597,913
39,1159,person,1241,579,1273,651,1257,615
39,1163,car,524,375,618,452,571,413
39,696,car,1400,611,1509,729,1454,670
39,21,truck,1318,440,1402,556,1360,498
39,1214,car,716,220,776,262,746,241
39,1237,person,888,373,912,432,900,402
39,1240,person,1676,789,1705,854,1690,821
39,1172,car,1331,595,1386,685,1358,640
39,1213,car,591,577,664,661,627,619
39,1184,car,681,334,739,395,710,364
39,1253,car,777,454,831,536,804,495
39,1254,car,826,186,876,222,851,204
39,50,truck,1561,378,1917,857,1739,617
39,1165,car,746,301,810,361,778,331
39,1191,person,924,546,960,638,942,592
39,1173,car,1313,546,1367,603,1340,574
39,1215,car,657,267,716,317,686,292
40,1150,bus,490,581,794,1052,642,816
40,1151,car,391,686,554,870,472,778
40,1152,car,590,436,702,545,646,490
40,1155,car,0,757,228,968,114,862
40,1156,car,388,517,527,643,457,580
40,1158,car,1542,846,1653,984,1597,915
