frame,track_id,vehicle_class,x1,y1,x2,y2,centroid_x,centroid_y
23,7,car,145,645,335,805,240,725
23,8,car,466,457,583,564,524,510
23,11,car,1531,840,1645,974,1588,907
23,12,person,1225,547,1254,605,1239,576
23,16,car,564,340,651,412,607,376
23,18,car,766,283,822,331,794,307
23,40,person,936,473,966,538,951,505
23,24,car,1309,546,1364,598,1336,572
23,20,car,705,304,753,356,729,330
23,31,car,946,316,985,367,965,341
23,22,car,535,342,649,414,592,378
23,21,truck,1315,443,1403,558,1359,500
24,1,bus,569,511,819,888,694,699
24,2,car,502,574,626,724,564,649
24,3,car,633,385,733,487,683,436
24,5,car,1398,613,1508,731,1453,672
24,6,car,477,920,667,1080,572,1000
24,7,car,136,651,331,813,233,732
24,8,car,462,460,581,568,521,514
24,11,car,1532,839,1646,973,1589,906
24,12,person,1226,549,1254,606,1240,577
24,16,car,563,343,647,415,605,379
24,18,car,764,284,820,334,792,309
24,40,person,934,474,966,548,950,511
24,24,car,1309,546,1364,598,1336,572
24,61,person,1074,519,1098,573,1086,546
24,21,truck,1313,442,1403,557,1358,499
24,50,truck,1554,376,1918,853,1736,614
25,1,bus,566,517,817,895,691,706
25,2,car,497,582,625,730,561,656
25,3,car,632,388,732,492,682,440
25,5,car,1399,612,1508,730,1453,671
25,6,car,468,930,664,1080,566,1005
25,7,car,130,658,325,819,227,738
25,8,car,457,463,576,572,516,517
25,11,car,1532,839,1646,974,1589,906
25,12,person,1227,550,1254,608,1240,579
25,16,car,562,346,644,418,603,382
25,18,car,758,285,820,337,789,311
25,40,person,934,478,965,551,949,514
25,24,car,1309,545,1365,598,1337,571
25,61,person,1075,520,1098,572,1086,546
25,21,truck,1311,441,1403,556,1357,498
25,63,car,646,520,698,582,672,551
25,64,car,726,212,787,246,756,229
25,65,car,678,249,735,295,706,272
25,50,truck,1553,377,1918,852,1735,614
25,20,car,702,307,751,361,726,334
26,1,bus,564,522,814,903,689,712
26,2,car,490,591,620,737,555,664
26,3,car,630,393,729,495,679,444
26,5,car,1398,612,1507,729,1452,670
26,6,car,466,940,660,1080,563,1010
26,7,car,122,663,318,827,220,745
26,8,car,454,467,574,576,514,521
26,11,car,1533,839,1646,972,1589,905
26,12,person,1227,552,1257,609,1242,580
26,16,car,562,347,643,420,602,383
26,18,car,761,285,819,339,790,312
26,40,person,933,481,966,555,949,518
26,24,car,1310,545,1365,597,1337,571
26,61,person,1075,520,1098,571,1086,545
26,21,truck,1310,441,1403,556,1356,498
26,63,car,643,521,697,586,670,553
26,64,car,725,213,786,248,755,230
26,65,car,678,250,733,295,705,272
26,50,truck,1554,381,1919,854,1736,617
26,31,car,947,321,987,371,967,346
27,1,bus,558,524,814,913,686,718
27,2,car,484,598,616,745,550,671
27,3,car,625,395,727,499,676,447
27,5,car,1397,611,1509,729,1453,670
27,6,truck,463,952,655,1080,559,1016
27,7,car,113,667,313,837,213,752
27,8,car,451,470,573,579,512,524
27,11,car,1532,840,1648,975,1590,907
27,12,person,1227,555,1257,613,1242,584
27,16,car,560,349,641,422,600,385
27,18,car,755,285,817,340,786,312
27,40,person,932,484,964,559,948,521
27,24,car,1310,545,1366,597,1338,571
27,61,person,1075,519,1098,571,1086,545
27,21,truck,1310,440,1403,556,1356,498
27,63,car,638,526,691,592,664,559
27,64,car,724,213,786,249,755,231
27,65,car,673,252,735,297,704,274
27,50,truck,1556,381,1919,851,1737,616
27,20,car,700,309,749,365,724,337
28,1,bus,552,527,814,923,683,725
28,2,car,478,602,612,754,545,678
28,3,car,619,396,725,502,672,449
28,5,car,1397,610,1508,729,1452,669
28,6,truck,455,963,651,1080,553,1021
28,7,car,105,672,308,846,206,759
28,8,car,445,473,571,583,508,528
28,11,car,1533,841,1647,976,1590,908
28,12,person,1229,557,1259,616,1244,586
28,16,car,557,351,640,425,598,388
28,18,car,754,286,816,342,785,314
28,40,person,929,491,964,570,946,530
28,24,car,1310,545,1367,597,1338,571
28,61,person,1074,518,1098,569,1086,543
28,21,truck,1313,440,1403,557,1358,498
28,64,car,724,213,786,249,755,231
28,50,truck,1558,378,1919,853,1738,615
28,31,car,947,325,984,376,965,350
29,1,bus,548,530,812,931,680,730
29,2,car,471,607,604,759,537,683
29,3,car,618,402,723,504,670,453
29,5,car,1397,610,1507,729,1452,669
29,6,car,449,976,648,1080,548,1028
29,7,car,95,679,302,855,198,767
29,8,car,441,476,566,588,503,532
29,11,car,1535,841,1646,973,1590,907
29,12,person,1231,559,1260,620,1245,589
29,16,car,555,353,640,427,597,390
29,18,car,753,287,817,343,785,315
29,40,person,928,496,964,576,946,536
29,24,car,1311,545,1367,597,1339,571
29,61,person,1073,518,1098,568,1085,543
29,21,truck,1318,439,1403,558,1360,498
29,64,car,723,214,786,251,754,232
29,31,car,948,326,985,378,966,352
29,63,car,631,534,692,601,661,567
29,65,car,671,256,731,298,701,277
30,1,bus,542,534,810,942,676,738
30,2,car,466,616,601,770,533,693
30,3,car,615,407,720,508,667,457
30,5,car,1395,610,1508,730,1451,670
30,6,car,447,987,643,1080,545,1033
30,7,car,84,686,294,866,189,776
30,8,car,436,479,562,595,499,537
30,11,car,1535,842,1647,977,1591,909
30,12,person,1234,561,1262,624,1248,592
30,16,car,549,354,638,429,593,391
30,18,car,753,289,816,344,784,316
30,40,person,927,499,963,581,945,540
30,24,car,1312,546,1368,597,1340,571
30,61,person,1073,518,1098,569,1085,543
30,21,truck,1323,439,1404,560,1363,499
30,64,car,723,215,784,252,753,233
30,63,car,626,538,689,605,657,571
30,65,car,653,260,730,300,691,280
30,20,car,697,311,747,371,722,341
31,1,bus,539,538,808,950,673,744
31,2,car,459,622,598,779,528,700
31,3,car,614,410,718,512,666,461
31,5,car,1395,609,1508,729,1451,669
31,6,car,445,998,639,1079,542,1038
31,7,car,78,692,288,873,183,782
31,8,car,433,482,560,599,496,540
31,11,car,1535,843,1648,978,1591,910
31,12,person,1236,565,1263,627,1249,596
31,16,car,540,355,637,431,588,393
31,18,car,758,290,816,345,787,317
31,40,person,926,503,963,586,944,544
31,24,car,1312,545,1368,598,1340,571
31,61,person,1073,517,1098,569,1085,543
31,21,truck,1325,439,1404,560,1364,499
31,64,car,725,215,783,251,754,233
31,63,car,622,543,683,611,652,577
32,1,bus,532,542,807,962,669,752
32,2,car,453,628,596,786,524,707
32,3,car,612,413,717,515,664,464
32,5,car,1393,609,1508,729,1450,669
32,6,car,446,1012,633,1079,539,1045
32,7,car,67,698,283,881,175,789
32,8,car,428,485,557,602,492,543
32,11,car,1535,843,1649,978,1592,910
32,12,person,1236,566,1264,629,1250,597
32,16,car,541,358,634,434,587,396
32,18,car,755,291,815,347,785,319
32,40,person,928,506,962,586,945,546
32,24,car,1313,545,1368,599,1340,572
32,61,person,1073,516,1098,569,1085,542
32,21,truck,1326,439,1404,560,1365,499
32,64,car,721,215,781,253,751,234
32,63,car,620,547,678,612,649,579
33,1,bus,526,547,806,972,666,759
33,2,car,448,635,591,797,519,716
33,3,car,610,416,716,520,663,468
33,5,car,1394,609,1508,729,1451,669
33,7,car,59,704,276,891,167,797
33,8,car,422,491,554,609,488,550
33,11,car,1536,844,1650,978,1593,911
33,12,person,1236,569,1265,633,1250,601
33,16,car,539,362,630,437,584,399
33,18,car,752,293,813,349,782,321
33,40,person,925,513,963,599,944,556
33,24,car,1312,545,1368,601,1340,573
33,61,person,1074,515,1098,570,1086,542
33,21,truck,1325,439,1404,558,1364,498
33,64,car,720,217,781,255,750,236
33,63,car,616,551,675,624,645,587
33,87,person,890,357,915,412,902,384
33,65,car,661,259,725,307,693,283
34,1,bus,522,551,804,981,663,766
34,2,car,441,640,586,806,513,723
34,3,car,608,419,713,523,660,471
34,5,car,1396,610,1509,729,1452,669
34,7,car,49,712,269,901,159,806
34,8,car,417,495,552,613,484,554
34,11,car,1535,844,1650,978,1592,911
34,12,person,1238,572,1266,636,1252,604
34,16,car,536,365,627,440,581,402
34,24,car,1311,545,1367,604,1339,574
34,61,person,1075,511,1098,567,1086,539
34,21,truck,1322,439,1404,558,1363,498
34,64,car,723,218,780,255,751,236
34,63,car,611,554,671,632,641,593
34,87,person,890,360,915,416,902,388
34,90,person,1677,797,1709,861,1693,829
34,91,car,1327,566,1435,685,1381,625
34,65,car,664,259,725,307,694,283
34,19,car,1329,576,1387,684,1358,630
34,31,car,945,337,985,391,965,364
34,20,car,689,323,743,382,716,352
35,1,bus,519,554,803,991,661,772
35,2,car,437,647,580,816,508,731
35,3,car,606,421,713,527,659,474
35,5,car,1398,611,1509,729,1453,670
35,7,car,38,718,263,911,150,814
35,8,car,414,496,548,617,481,556
35,11,car,1536,843,1650,978,1593,910
35,12,person,1239,573,1269,639,1254,606
35,16,car,535,367,625,442,580,404
35,24,car,1311,546,1366,603,1338,574
35,21,truck,1320,439,1404,556,1362,497
35,64,car,722,218,778,257,750,237
35,87,person,890,362,916,420,903,391
35,90,person,1677,795,1708,867,1692,831
35,91,car,1328,570,1427,686,1377,628
35,65,car,667,260,722,308,694,284
35,19,car,1330,583,1387,684,1358,633
35,31,car,944,337,985,393,964,365
36,1,bus,515,557,800,1003,657,780
36,2,car,429,653,577,824,503,738
36,3,car,603,424,710,530,656,477
36,5,car,1397,611,1509,729,1453,670
36,7,car,28,724,257,920,142,822
36,8,car,408,501,542,622,475,561
36,11,car,1539,845,1648,978,1593,911
36,12,person,1239,575,1270,642,1254,608
36,16,car,534,368,623,444,578,406
36,24,car,1311,546,1366,605,1338,575
